time,sn,VOCs_1,VOCs_2
2021-01-13 17:12:28,BD00-02A8,17.5,8.8
2021-01-13 17:12:28,B616-1051,1257.9,1936.6
2021-01-13 17:12:28,BD00-02AE,41.4,6553.5
2021-01-13 17:12:28,C216-1003,948.0,984.3
2021-01-13 17:12:28,B616-1018,1806.9,1039.9
2021-01-13 17:12:28,B616-1031,1083.8,1170.3
2021-01-13 17:12:29,BD00-02B3,262.8,8.7
2021-01-13 17:12:29,F000-F40B,19.7,19.3
2021-01-13 17:12:29,C216-1005,1331.1,1284.8
2021-01-13 17:12:29,B616-1028,2174.0,8.1
2021-01-13 17:12:29,BD00-0162,6553.5,6553.5
2021-01-13 17:12:29,B616-103C,1495.0,426.1
2021-01-13 17:12:29,B616-102D,1611.0,1474.4
2021-01-13 17:12:29,B616-104C,1628.4,1759.7
2021-01-13 17:12:29,B616-1034,1997.2,1887.6
2021-01-13 17:12:29,BD00-02B2,22.4,6553.5
2021-01-13 17:12:29,B616-103F,1524.9,1612.9
2021-01-13 17:12:29,BD00-02B9,6553.5,6553.5
2021-01-13 17:12:29,B616-102E,964.9,1175.1
2021-01-13 17:12:29,B616-102A,1528.9,1185.0
2021-01-13 17:12:29,F000-F405,1422.7,1349.8
2021-01-13 17:12:29,C216-1009,1084.5,891.6
2021-01-13 17:12:29,BD00-02AB,24.8,8.7
2021-01-13 17:12:29,B616-1024,1477.3,2359.3
2021-01-13 17:12:29,C216-100A,779.3,752.8
2021-01-13 17:12:29,B616-1045,2048.6,1631.2
2021-01-13 17:12:29,BD00-02BA,20.1,422.0
2021-01-13 17:12:29,B616-1039,600.7,1040.0
2021-01-13 17:12:29,B616-1041,1902.6,914.6
2021-01-13 17:12:29,BD00-02AC,26.3,9.0
2021-01-13 17:12:29,B616-101E,1272.1,1035.5
2021-01-13 17:12:29,BD00-01F2,1427.9,2164.2
2021-01-13 17:12:30,F000-F308,975.7,6553.5
2021-01-13 17:12:30,B616-1040,45.3,28.8
2021-01-13 17:12:30,BD00-02AF,20.3,6553.5
2021-01-13 17:12:30,C216-1001,1617.1,1366.1
2021-01-13 17:12:30,B616-1055,1099.2,1195.1
2021-01-13 17:12:30,B616-1020,11.0,1876.5
2021-01-13 17:12:30,BD00-02A5,6553.5,6553.5
2021-01-13 17:12:30,BD00-02AD,22.2,314.4
2021-01-13 17:12:30,BD00-02B6,17.3,6553.5
2021-01-13 17:12:30,B616-1010,2283.1,2058.2
2021-01-13 17:12:30,B616-102B,1529.9,1581.9
2021-01-13 17:12:30,B616-1025,1273.6,1470.8
2021-01-13 17:12:30,B616-1022,1863.4,1127.2
2021-01-13 17:12:30,B616-106B,826.6,1250.5
2021-01-13 17:12:30,BD00-02A6,18.3,6553.5
2021-01-13 17:12:30,B616-104A,1324.7,8.1
2021-01-13 17:12:30,BD00-02F9,6553.5,6553.5
2021-01-13 17:12:30,B616-1014,1868.9,1808.1
2021-01-13 17:12:30,BD00-02A2,13.9,8.5
2021-01-13 17:12:30,F000-F173,1.6,6553.5
2021-01-13 17:12:30,B616-101F,2040.0,2332.6
2021-01-13 17:12:30,BD00-02A7,22.0,6553.5
2021-01-13 17:12:30,B616-1048,1724.8,1403.3
2021-01-13 17:12:30,B616-104F,952.4,1020.5
2021-01-13 17:12:30,B616-1042,1808.3,1880.4
2021-01-13 17:12:30,B616-1054,6.1,1116.6
2021-01-13 17:12:30,C216-1006,1672.9,1031.7
2021-01-13 17:12:30,B616-1043,707.9,1046.1
2021-01-13 17:12:30,B616-1036,1957.3,2188.9
2021-01-13 17:12:30,BD00-02AA,25.2,6553.5
2021-01-13 17:12:31,BD00-02B0,23.5,6553.5
2021-01-13 17:12:31,BD00-02A1,480.2,6553.5
2021-01-13 17:12:31,BD00-02B7,20.3,6553.5
2021-01-13 17:12:31,B616-1035,1463.7,1915.1
2021-01-13 17:12:31,B616-106C,803.7,893.4
2021-01-13 17:12:31,BD00-02A9,25.3,6553.5
2021-01-13 17:12:31,B616-101C,1882.2,1799.9
2021-01-13 17:12:31,F000-F406,1253.9,1359.7
2021-01-13 17:12:31,BD00-02B5,19.6,6553.5
2021-01-13 17:12:31,BD00-02B4,19.9,6553.5
2021-01-13 17:12:31,B616-100E,6553.5,6553.5
2021-01-13 17:12:31,C216-1002,1071.5,1104.7
2021-01-13 17:12:31,F000-F367,1239.5,11.0
2021-01-13 17:12:31,B616-1030,6553.5,6553.5
2021-01-13 17:12:31,BD00-02B8,24.0,6553.5
2021-01-13 17:12:31,BD00-02B1,20.8,6553.5
2021-01-13 17:12:31,B616-106D,1028.5,997.0
2021-01-13 17:12:31,B616-1015,1666.4,1254.8
2021-01-13 17:12:31,B616-1051,1261.6,1942.7
2021-01-13 17:12:31,BD00-02AE,41.7,6553.5
2021-01-13 17:12:31,BD00-02B3,260.9,8.5
2021-01-13 17:12:31,B616-1031,1059.5,1141.4
2021-01-13 17:12:31,B616-1018,1828.1,1062.7
2021-01-13 17:12:31,BD00-02A8,17.5,8.7
2021-01-13 17:12:32,F000-F40B,19.8,19.4
2021-01-13 17:12:32,B616-1028,2143.1,8.1
2021-01-13 17:12:32,BD00-0162,6553.5,6553.5
2021-01-13 17:12:32,B616-102D,1592.3,1456.9
2021-01-13 17:12:32,B616-103C,1508.5,427.3
2021-01-13 17:12:32,B616-101C,1899.8,1823.4
2021-01-13 17:12:32,B616-104C,1627.6,1759.6
2021-01-13 17:12:32,B616-1034,1994.9,1886.1
2021-01-13 17:12:32,B616-103F,1513.3,1607.4
2021-01-13 17:12:32,BD00-02A3,413.7,6553.5
2021-01-13 17:12:32,BD00-02B2,22.3,6553.5
2021-01-13 17:12:32,BD00-02A9,26.3,6553.5
2021-01-13 17:12:32,F000-F405,1436.5,1354.7
2021-01-13 17:12:32,BD00-02AB,25.3,8.5
2021-01-13 17:12:32,B616-102E,963.4,1170.7
2021-01-13 17:12:32,B616-102A,1522.0,1177.8
2021-01-13 17:12:32,B616-1024,1483.7,2362.5
2021-01-13 17:12:32,B616-1039,555.9,956.0
2021-01-13 17:12:32,B616-1045,2051.2,1632.3
2021-01-13 17:12:32,BD00-02BA,20.5,422.0
2021-01-13 17:12:32,B616-1041,1896.4,910.4
2021-01-13 17:12:32,BD00-02AC,27.4,9.0
2021-01-13 17:12:32,BD00-01F2,1439.4,2181.3
2021-01-13 17:12:32,B616-101E,1275.7,1038.9
2021-01-13 17:12:32,F000-F40A,293.0,26.9
2021-01-13 17:12:33,BD00-02AF,20.1,6553.5
2021-01-13 17:12:33,B616-1040,45.3,28.8
2021-01-13 17:12:33,B616-1025,1163.6,1359.7
2021-01-13 17:12:33,F000-F308,972.4,6553.5
2021-01-13 17:12:33,B616-1055,1098.3,1193.8
2021-01-13 17:12:33,B616-106F,311.2,643.2
2021-01-13 17:12:33,BD00-02B0,23.9,6553.5
2021-01-13 17:12:33,B616-1020,11.0,1860.8
2021-01-13 17:12:33,BD00-02AD,22.3,314.4
2021-01-13 17:12:33,B616-1010,2324.0,2094.6
2021-01-13 17:12:33,BD00-02B6,19.6,6553.5
2021-01-13 17:12:33,B616-102B,1544.1,1596.8
2021-01-13 17:12:33,BD00-02F9,6553.5,6553.5
2021-01-13 17:12:33,C216-100C,951.7,1226.1
2021-01-13 17:12:33,B616-1030,6553.5,6553.5
2021-01-13 17:12:33,BD00-02A5,6553.5,6553.5
2021-01-13 17:12:33,B616-106B,775.0,1218.5
2021-01-13 17:12:33,B616-1022,1863.5,1127.1
2021-01-13 17:12:33,B616-104A,1329.3,8.1
2021-01-13 17:12:33,B616-104F,952.3,1020.7
2021-01-13 17:12:33,F000-F173,1.6,6553.5
2021-01-13 17:12:33,B616-101F,2040.1,2336.7
2021-01-13 17:12:33,BD00-02A6,18.3,6553.5
2021-01-13 17:12:33,B616-1014,1864.0,1803.4
2021-01-13 17:12:33,BD00-02A2,14.0,8.8
2021-01-13 17:12:33,BD00-02A7,22.0,6553.5
2021-01-13 17:12:33,B616-1048,1725.4,1403.1
2021-01-13 17:12:33,B616-1054,11.0,1113.3
2021-01-13 17:12:33,B616-1043,710.7,1049.6
2021-01-13 17:12:33,B616-1036,1961.7,2192.8
2021-01-13 17:12:33,BD00-02AA,25.2,6553.5
2021-01-13 17:12:33,B616-106C,802.4,887.5
2021-01-13 17:12:34,B616-1042,1805.1,1880.9
2021-01-13 17:12:34,BD00-02A1,488.1,6553.5
2021-01-13 17:12:34,BD00-02B7,21.3,6553.5
2021-01-13 17:12:34,B616-1035,1457.7,1908.9
2021-01-13 17:12:34,BD00-02B4,20.1,6553.5
2021-01-13 17:12:34,F000-F406,1249.1,1355.9
2021-01-13 17:12:34,F000-F367,1240.4,11.0
2021-01-13 17:12:34,B616-106F,314.0,643.6
2021-01-13 17:12:34,BD00-02B5,19.9,6553.5
2021-01-13 17:12:34,C216-100B,908.6,980.6
2021-01-13 17:12:34,B616-100E,6553.5,6553.5
2021-01-13 17:12:34,B616-1015,1666.5,1254.9
2021-01-13 17:12:34,B616-106D,1029.0,996.6
2021-01-13 17:12:34,BD00-02A8,17.8,8.7
2021-01-13 17:12:34,BD00-02B1,20.8,6553.5
2021-01-13 17:12:34,BD00-02B8,24.5,6553.5
2021-01-13 17:12:34,BD00-02AE,41.7,6553.5
2021-01-13 17:12:34,C216-1003,947.4,986.4
2021-01-13 17:12:34,BD00-02B3,260.0,8.4
2021-01-13 17:12:34,B616-1031,1056.3,1138.8
2021-01-13 17:12:34,B616-1018,1848.6,1075.3
2021-01-13 17:12:35,F000-F40B,19.8,19.3
2021-01-13 17:12:35,C216-1005,1329.2,1281.7
2021-01-13 17:12:35,B616-1028,2133.8,8.1
2021-01-13 17:12:35,B616-103C,1531.3,429.2
2021-01-13 17:12:35,B616-102D,1583.3,1447.9
2021-01-13 17:12:35,BD00-0162,6553.5,6553.5
2021-01-13 17:12:35,B616-101C,1888.3,1810.0
2021-01-13 17:12:35,B616-104C,1628.3,1760.2
2021-01-13 17:12:35,B616-103F,1506.1,1602.9
2021-01-13 17:12:35,B616-1034,1992.8,1883.0
2021-01-13 17:12:35,BD00-02B2,22.0,6553.5
2021-01-13 17:12:35,BD00-02A3,415.9,6553.5
2021-01-13 17:12:35,BD00-02A9,25.9,6553.5
2021-01-13 17:12:35,BD00-02B9,6553.5,6553.5
2021-01-13 17:12:35,B616-102E,967.4,1180.6
2021-01-13 17:12:35,C216-1009,1084.8,891.9
2021-01-13 17:12:35,B616-102A,1523.6,1178.9
2021-01-13 17:12:35,F000-F405,1400.0,1313.8
2021-01-13 17:12:35,B616-1040,45.4,28.8
2021-01-13 17:12:35,C216-100A,778.4,754.8
2021-01-13 17:12:35,B616-1024,1489.0,2369.4
2021-01-13 17:12:35,B616-1045,2053.0,1633.9
2021-01-13 17:12:35,BD00-02BA,20.9,422.0
2021-01-13 17:12:35,B616-1041,1891.8,906.4
2021-01-13 17:12:35,B616-1039,531.3,912.4
2021-01-13 17:12:35,BD00-02AC,27.6,8.7
2021-01-13 17:12:35,B616-101E,1272.8,1036.3
2021-01-13 17:12:35,BD00-01F2,1425.2,2168.7
2021-01-13 17:12:35,F000-F40A,286.6,26.9
2021-01-13 17:12:36,F000-F308,970.8,6553.5
2021-01-13 17:12:36,BD00-02AD,22.0,314.4
2021-01-13 17:12:36,BD00-02AF,20.2,6553.5
2021-01-13 17:12:36,C216-1001,1661.0,1391.9
2021-01-13 17:12:36,BD00-02B0,24.2,6553.5
2021-01-13 17:12:36,B616-1055,1096.4,1192.7
2021-01-13 17:12:36,B616-1029,2253.7,1844.4
2021-01-13 17:12:36,BD00-02A5,6553.5,6553.5
2021-01-13 17:12:36,BD00-02B6,18.2,6553.5
2021-01-13 17:12:36,B616-1010,2281.4,2048.2
2021-01-13 17:12:36,BD00-02AB,24.6,8.9
2021-01-13 17:12:36,B616-102B,1577.9,1623.5
2021-01-13 17:12:36,BD00-02F9,6553.5,6553.5
2021-01-13 17:12:36,B616-1020,11.0,1845.5
2021-01-13 17:12:36,B616-1022,1865.4,1130.7
2021-01-13 17:12:36,B616-106B,733.0,1175.1
2021-01-13 17:12:36,B616-104F,953.0,1021.0
2021-01-13 17:12:36,BD00-02A2,14.0,8.9
2021-01-13 17:12:36,F000-F173,1.6,6553.5
2021-01-13 17:12:36,B616-101F,2041.2,2338.1
2021-01-13 17:12:36,BD00-02A7,22.2,6553.5
2021-01-13 17:12:36,B616-1048,1724.2,1402.6
2021-01-13 17:12:36,BD00-02A6,18.5,6553.5
2021-01-13 17:12:36,C216-1006,1673.7,1031.8
2021-01-13 17:12:36,B616-104A,1337.0,8.1
2021-01-13 17:12:36,B616-1054,11.0,1112.2
2021-01-13 17:12:36,B616-1042,1806.5,1880.9
2021-01-13 17:12:36,B616-1030,6553.5,6553.5
